"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"122","2021-05-05 23:15:00",2021-05-05 23:15:00,124.927083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2021-05-05 23:30:00",2021-05-05 23:30:00,124.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2021-05-05 23:45:00",2021-05-05 23:45:00,124.947916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2021-05-06 00:00:00",2021-05-06 00:00:00,124.958333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2021-05-06 00:15:00",2021-05-06 00:15:00,124.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2021-05-06 00:30:00",2021-05-06 00:30:00,124.979166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2021-05-06 00:45:00",2021-05-06 00:45:00,124.989583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2021-05-06 01:00:00",2021-05-06 01:00:00,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2021-05-06 01:15:00",2021-05-06 01:15:00,125.010416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2021-05-06 01:30:00",2021-05-06 01:30:00,125.020833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","2021-05-06 01:45:00",2021-05-06 01:45:00,125.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","2021-05-06 02:00:00",2021-05-06 02:00:00,125.041666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2021-05-06 02:15:00",2021-05-06 02:15:00,125.052083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2021-05-06 02:30:00",2021-05-06 02:30:00,125.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2021-05-06 02:45:00",2021-05-06 02:45:00,125.072916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","2021-05-06 03:00:00",2021-05-06 03:00:00,125.083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2021-05-06 03:15:00",2021-05-06 03:15:00,125.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","2021-05-06 03:30:00",2021-05-06 03:30:00,125.104166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","2021-05-06 03:45:00",2021-05-06 03:45:00,125.114583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","2021-05-06 04:00:00",2021-05-06 04:00:00,125.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","2021-05-06 04:15:00",2021-05-06 04:15:00,125.135416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","2021-05-06 04:30:00",2021-05-06 04:30:00,125.145833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","2021-05-06 04:45:00",2021-05-06 04:45:00,125.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2021-05-06 05:00:00",2021-05-06 05:00:00,125.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","2021-05-06 05:15:00",2021-05-06 05:15:00,125.177083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","2021-05-06 05:30:00",2021-05-06 05:30:00,125.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","2021-05-06 05:45:00",2021-05-06 05:45:00,125.197916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","2021-05-06 06:00:00",2021-05-06 06:00:00,125.208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","2021-05-06 06:15:00",2021-05-06 06:15:00,125.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","2021-05-06 06:30:00",2021-05-06 06:30:00,125.229166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","2021-05-06 06:45:00",2021-05-06 06:45:00,125.239583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","2021-05-06 07:00:00",2021-05-06 07:00:00,125.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","2021-05-06 07:15:00",2021-05-06 07:15:00,125.260416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","2021-05-06 07:30:00",2021-05-06 07:30:00,125.270833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2021-05-06 07:45:00",2021-05-06 07:45:00,125.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","2021-05-06 08:00:00",2021-05-06 08:00:00,125.291666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2021-05-06 08:15:00",2021-05-06 08:15:00,125.302083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","2021-05-06 08:30:00",2021-05-06 08:30:00,125.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","2021-05-06 08:45:00",2021-05-06 08:45:00,125.322916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","2021-05-06 09:00:00",2021-05-06 09:00:00,125.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","2021-05-06 09:15:00",2021-05-06 09:15:00,125.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","2021-05-06 09:30:00",2021-05-06 09:30:00,125.354166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","2021-05-06 09:45:00",2021-05-06 09:45:00,125.364583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","2021-05-06 10:00:00",2021-05-06 10:00:00,125.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","2021-05-06 10:15:00",2021-05-06 10:15:00,125.385416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","2021-05-06 10:30:00",2021-05-06 10:30:00,125.395833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","2021-05-06 10:45:00",2021-05-06 10:45:00,125.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","2021-05-06 11:00:00",2021-05-06 11:00:00,125.416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","2021-05-06 11:15:00",2021-05-06 11:15:00,125.427083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","2021-05-06 11:30:00",2021-05-06 11:30:00,125.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","2021-05-06 11:45:00",2021-05-06 11:45:00,125.447916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","2021-05-06 12:00:00",2021-05-06 12:00:00,125.458333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","2021-05-06 12:15:00",2021-05-06 12:15:00,125.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","2021-05-06 12:30:00",2021-05-06 12:30:00,125.479166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","2021-05-06 12:45:00",2021-05-06 12:45:00,125.489583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","2021-05-06 13:00:00",2021-05-06 13:00:00,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","2021-05-06 13:15:00",2021-05-06 13:15:00,125.510416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","2021-05-06 13:30:00",2021-05-06 13:30:00,125.520833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","2021-05-06 13:45:00",2021-05-06 13:45:00,125.53125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","2021-05-06 14:00:00",2021-05-06 14:00:00,125.541666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","2021-05-06 14:15:00",2021-05-06 14:15:00,125.552083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","2021-05-06 14:30:00",2021-05-06 14:30:00,125.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2021-05-06 14:45:00",2021-05-06 14:45:00,125.572916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","2021-05-06 15:00:00",2021-05-06 15:00:00,125.583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","2021-05-06 15:15:00",2021-05-06 15:15:00,125.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","2021-05-06 15:30:00",2021-05-06 15:30:00,125.604166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","2021-05-06 15:45:00",2021-05-06 15:45:00,125.614583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
